"crl.tot","dollar","bang","money","n000","make","yesno"
230,0,0,0,0,0,"n"
6,0,0,0,0,0,"y"
112,0,0,0,0,0.34,"n"
56,0,0.411,0,0,0,"y"
1458,0.151,0.318,0.19,0.39,0.09,"y"
26,0,0.398,0,0,0,"n"
1026,0,0.073,0,0.05,0.15,"n"
3,0,1.086,0,0,0,"n"
1108,0.16,0,0,0,0,"n"
1360,0.104,0.733,0.46,0.58,0.58,"y"
966,0.305,0.75,0.69,0.06,0.48,"y"
104,0,0.193,0,0,0.37,"n"
445,0,0.199,0,0,0,"y"
8,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
701,0.256,0.736,1.14,0.49,0.98,"y"
49,0,0.12,0,0,0,"n"
43,0,0,0,0,0,"n"
92,0.111,0.111,0.62,0,0,"y"
53,0,0.276,0,0,0,"n"
749,0.081,0.244,0,0.19,0.06,"y"
37,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
149,0,0,0,0,0,"n"
27,0.809,0.809,0,0,0,"n"
727,0.049,0.248,0.33,0.49,0,"y"
43,0,0.141,0,0,0,"n"
32,0,0,0,0,0.71,"n"
59,0,0,0,0,0,"n"
67,0,0,0,0,0,"n"
3269,0.626,0.322,0.35,1.09,0.49,"y"
190,0,0.043,0,0,0.25,"n"
43,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
78,0,0.361,0,0,0,"y"
89,0,0,0,0,0,"n"
1590,0.592,0.435,1.08,0.31,0.5,"y"
39,0,0.169,0,0,0,"n"
640,0.894,0.246,0,0,0.09,"y"
36,0.279,0.558,0,0,0,"y"
58,0,0.11,0,0,0,"n"
5,0,0,0,0,0,"n"
387,0.029,0.029,0,0,0.37,"n"
6,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
202,0.34,1.191,0,0,0,"y"
58,0,0.192,0,0,0,"y"
125,0.086,0.086,0,0.55,0,"y"
297,0,0.188,0,0,0,"n"
464,0,0.267,0.47,0,0,"y"
1003,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
227,0,0,0,0,0,"n"
169,0.037,0.037,0,0,0,"n"
30,0,0,0,0,0,"n"
1064,0,0,0,0,0,"n"
13,0,0,0,0,0,"n"
51,0,0,0,0,0,"n"
191,0,0.135,0,0,0,"y"
7,0,0,0,0,0,"n"
125,0,0.519,0,0.84,0,"y"
271,0.201,1.105,0,0,1.24,"y"
61,0,0,0,0,0,"y"
42,0,0,0.39,0,0.78,"n"
18,0,0,0,0,0.68,"n"
71,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
6,0,0,0,0,0,"n"
108,0,0,0,0,0,"n"
89,0.091,0,0.27,0,0,"y"
1030,0.67,0.693,0,0,0,"y"
147,0,0,0,0,0,"n"
802,0.159,0.159,0.14,0,0.07,"y"
4,0,0,0,0,0,"y"
119,0,0,0,0,0,"y"
131,0.466,0.093,0,1.59,0,"y"
146,0,0.161,0,0,0,"n"
36,0,0.262,0,0,0,"n"
931,0,0,0,0,0,"n"
114,0.549,0.481,0.41,0,1.24,"y"
48,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
39,0,0.144,0,0,0,"n"
45,0,0.111,0,0,0,"n"
4,0,0,0,0,0,"n"
24,0,0.103,0,0,0,"n"
535,0.294,0.261,0.34,0.34,0.34,"y"
11,0,0.872,0,0,0,"y"
257,0,0,0,0,0,"n"
9,0,0,0,0,0,"n"
241,0,0,0,0,0,"y"
535,0.031,0,0,0,0.11,"n"
51,0,0.208,0,0,0,"n"
178,0,0.016,0,0,0,"n"
815,0.017,0,0,0,0.12,"n"
135,0,0.093,0.64,0,0,"y"
326,0,0.583,0,0,0,"y"
35,0,0,0,0,0,"n"
124,0,1.255,0,0,0,"y"
59,0.048,0,0,0,0.33,"y"
4,0,0,0,0,0,"n"
146,0,0.413,0,0,0.25,"n"
308,0,0,0,0,0.2,"n"
17,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
26,0,0,0,0,0,"n"
95,0,0.204,0,0,0,"y"
14,0,0.961,0,0,0,"n"
139,0.157,0,0.32,0,0,"y"
4,0,0,0,0,0,"n"
189,0.114,0.513,0,0.41,0.82,"y"
180,0.253,1.182,0,1.62,0.54,"y"
120,0,0.663,0,0,0,"y"
10,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
436,0.023,0,0,0,0.08,"n"
294,0.022,0,0,0.14,0,"y"
40,0,0,0,0,0,"n"
537,1.223,2.224,0,0,0,"y"
270,0.309,0.206,0,0,0,"y"
1310,0.079,0.089,0.05,0,0.05,"y"
591,0.044,0,0,0.23,0.07,"n"
16,0,0,0,0,0,"n"
35,0,0,0,0,0,"n"
109,0,0,0,0,0,"n"
177,0.928,0.433,0,1.47,0,"y"
139,0.075,0.075,0,0,0,"n"
595,0.225,0.902,0.49,0,0.65,"y"
6,0,1.724,0,0,0,"n"
17,0,0,0,0,0,"n"
304,0.541,0.12,0.33,1.66,1,"y"
86,0,0.065,0,0,0.46,"n"
62,0,0,0,0,0,"y"
1351,0.158,0.49,0.1,0.6,0.1,"y"
424,0,0,0,0,0,"n"
2227,0.524,0.36,0.38,0.46,0.38,"y"
169,0,0,0,0,0,"n"
69,0.213,0.426,0,0,0,"y"
372,0.04,0.04,0,0,0,"n"
286,0,0,0,0,0,"n"
155,0,0,0,0,0,"n"
505,0,0,0,0,0,"y"
18,0,0.636,0,0,0,"n"
117,0,0,0,0,0,"n"
993,0.548,0.174,0.39,0.19,0,"y"
40,0,0.125,0,0,0,"n"
4,0,0,0,0,0,"n"
186,0.095,1.429,0,0,0,"y"
509,0.107,0.287,0,0,0.11,"y"
469,0,0.764,0.43,0,0.14,"y"
6,0,0,0,0,0,"n"
359,0,0,0,0,0,"y"
274,0,0.14,0.58,0,0,"y"
19,0,0.552,0,0,0,"n"
296,0,0,0,0,0,"n"
377,0,0,0,0,0,"n"
10,0.719,0,0,0,0,"n"
61,0.662,0.441,0,0,0,"y"
237,0,0.394,0,0,0,"y"
9,0,0,0,0,0,"n"
260,0,0.7,0,0,0,"y"
5,0,0,0,0,0,"n"
35,0,0,0,0,0,"n"
46,0,0,0,0,0,"n"
80,0.341,0.17,0,0,0,"y"
511,0.032,0,0,0,0.11,"n"
772,0.377,0.022,0.16,0,0,"n"
13,0,0,0,0,0,"n"
28,0,0,0,0,0,"n"
562,0.013,0,0,0.1,0.2,"n"
8,0,0,0,0,0,"n"
80,0,5.054,0.28,0,0.28,"n"
165,0.068,0.816,1.31,0,0,"y"
68,0,0,0,0,0,"n"
703,0.092,0.472,0,0.06,0,"y"
723,0.452,0.169,0.47,0,0.95,"y"
251,0.107,0.268,0.18,0,0,"y"
549,0.032,0,0,0,0.11,"n"
77,0,0.124,0.74,0,0,"n"
239,0,0,0,0,0,"n"
36,0,0.176,0,0,1.02,"n"
95,0,0.109,0,0,0,"n"
25,0,0,0,0,0,"n"
45,0,0.232,0,0,0,"n"
45,0,0,0,0,0,"n"
94,0.165,0.165,0,0,0,"y"
753,1.31,5.836,0.09,0,0.09,"y"
241,0.402,0.443,0,0.52,0,"y"
9,0,0,0,0,0,"y"
75,0,0.116,0,0,0.33,"n"
78,0,0,1.88,0,0,"y"
54,0,0.168,0,0,4,"n"
6,0,0,0,0,0,"n"
158,0,0.045,0,0,0.26,"n"
5,0,0,0,0,0,"n"
133,0.361,0.433,0,2.2,0.44,"y"
3,0,0,0,0,0,"n"
36,0.279,0.558,0,0,0,"y"
40,0,0,0,0,0,"n"
89,0,0.105,0,0,0.7,"n"
133,0,0,0,0,0,"n"
44,0,0,0,0,2.43,"y"
59,0,0.886,0,0,1.17,"y"
367,0,0.05,0,0.12,0,"n"
36,0,1.007,0,0,0,"y"
111,0.17,0.085,0,0,0,"y"
43,0.13,0.391,0,0.9,0.9,"y"
71,0,0.234,0,0,0,"y"
114,0,0,0,0,0,"n"
338,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
227,0,0.06,0,0,0,"n"
37,0,0,0,0,0,"n"
131,0,0,0,0,0,"n"
180,0,0.044,0,0,0,"n"
69,0,0,0,0,0,"n"
111,0,0.517,0.62,0,0.62,"y"
1214,0.067,0.308,0.17,0.17,0.17,"y"
65,0.142,0,0,0,0,"n"
37,0,0.149,0,0,0,"n"
34,0,0,0,0,0,"n"
88,0,0,0,0,0,"n"
141,0,0.537,0,0,0,"y"
43,0,0,0,1.25,0,"n"
85,0,0,0,0,0,"n"
75,0,0.392,0,0,0.54,"n"
12,0,0,0,0,0,"n"
60,0,0,0,0,0,"n"
181,0.252,1.18,0,1.62,0.54,"y"
888,0.048,0.029,0.06,0,0.13,"n"
78,0,0,0,0,0,"n"
101,0,0.082,0,0,0,"y"
304,0,0,0,0,0,"n"
32,0,0,0,0,0,"n"
112,0.054,0.164,0,0,0,"y"
120,0,0.291,0,1.05,0,"y"
909,0.025,0,0,0,0.18,"n"
26,0,0,0,0,0,"n"
98,0,0.045,0,0,0,"n"
21,0,0,0,0,0,"n"
1160,0,0,0,0,0.13,"n"
7,0,0,0,0,0,"n"
74,0.218,0.109,0,0,0,"n"
20,0,0,0,0,0,"n"
191,0.07,0.07,0,0.18,0,"y"
76,0,0,0,0,0,"n"
53,0.212,0,1.31,0,0,"y"
32,0.48,0.48,0,0,0,"y"
10,0.338,0,0,0,0,"y"
1423,0.014,0,0,0,0.05,"n"
249,0.129,0.776,0.84,0,0,"y"
24,0,0.167,0,0,0,"n"
932,0,0,0,0,0,"n"
34,0,0.49,1.16,0,0,"n"
83,0,0,0,0,0,"n"
301,0.683,2.636,0,0,0,"y"
190,0.135,0.067,0,0.78,0.58,"y"
113,0.313,0.522,0,0.64,0.64,"y"
1116,0.163,0,0,0,0,"n"
103,0,1.417,0.71,0,0.71,"y"
42,0,0,0,0,0,"n"
48,0,0,0,0,0,"n"
256,0.267,0.401,0,0.95,0,"y"
118,0,0.11,0,0,0,"y"
29,0,0,0,0,1.06,"n"
14,0,0,0,0,0,"n"
94,0,0.649,0,0,0,"y"
559,0,0.193,0,0,0,"n"
1351,0.158,0.49,0.1,0.6,0.1,"y"
13,0,0.375,0,0,0,"n"
78,0,0,0,0,0,"n"
125,0,0,0,0,0,"n"
505,0.031,0,0,0,0.11,"n"
5,0,0,0,0,0,"n"
577,0.12,0.013,0,0,0.09,"n"
11,0,0.833,0,0,0,"y"
182,0,0,0,0,0,"n"
183,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
21,0,0,0,0,0,"n"
150,0,0,0,0,0,"y"
5,0,0,0,0,0,"n"
114,0,0,0,0,0,"y"
182,0,0,0,0,0.34,"n"
89,0,0,0,0,0.23,"n"
117,0,0,0,0,0,"n"
1042,0.391,0.994,0.3,0,0.1,"y"
77,0,0.076,0,0,0,"n"
48,0,0,0,0,0,"n"
341,0,0,0,0,0,"n"
59,0.291,0.145,0,0,0,"y"
238,0,0,0,0,0,"n"
50,0,0,0,0,0,"n"
132,0,1.001,0,0,0.68,"y"
19,0,0.143,0,0,0,"n"
194,0.347,1.217,0,0,0,"y"
39,0,0.087,0,0,0,"n"
365,0.247,0.19,0.49,0.39,0.79,"y"
86,0,0.13,1.83,0,0,"n"
20,0,0,0,0,0,"n"
187,0,0,0,0,0,"n"
82,0,0.112,0,0,0,"n"
70,0,0.238,0,0,0,"n"
479,0.224,0.102,0.96,0.72,0.6,"y"
506,0,0.033,0,0,0,"y"
18,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
86,0,0.323,0,0.31,0,"y"
665,0.022,0,0,0,0.08,"n"
144,0,0,0,0,0,"y"
81,0,0.269,0,0,0,"y"
1070,0.235,0.428,0.76,0.44,0.76,"y"
64,0,0,0,0,0,"n"
146,0.061,0.615,0,0,0,"y"
428,0.048,0.388,0.29,0.14,0,"y"
23,0,0.266,0,0,0,"n"
94,0,0.176,0,0,0,"y"
344,0.093,1.029,0,0,0.27,"y"
96,0,0.371,0,0,0,"y"
66,0,0.08,0,0,0.51,"n"
92,0,0,0,0,1.02,"n"
5,0,0,0,0,0,"n"
1689,0.207,0.569,0.68,0.58,0.29,"y"
18,0,0,0,0,0,"n"
157,0.166,0,0.32,0,0,"y"
170,0,0.427,0.59,0,0,"y"
268,0,0,0,0,0,"n"
76,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
69,0,0.151,0,0,0.42,"n"
298,0,0,0,0,0,"n"
101,0,0.117,0,0,0,"y"
103,0,0,0,0,0,"n"
3038,0.764,0.322,0.34,1.05,0.47,"y"
24,0,0,0,0,0,"n"
1303,0.014,0,0,0,0.05,"n"
94,0,0,0,0,0,"n"
7,0,0,0,0,0,"n"
135,0,0,0,0,0.16,"n"
5,0,0,0,0,0,"n"
605,0.063,0,0,0.1,0,"n"
657,0.054,1.194,0.33,0,0.16,"y"
142,0,0,0,0,0,"n"
51,0,0,0,0,0,"y"
5,0,0,0,0,0,"n"
292,0,0.662,0,0.64,0,"y"
618,0,0.078,0,0,0,"n"
66,0,0.279,0,0,0,"n"
122,0.37,0.462,0,0.64,0.64,"y"
99,0,0,0,0,0,"n"
417,0.053,0.07,0.1,0,0.1,"n"
1402,0.118,0.435,0.08,0.85,0.08,"y"
529,1.237,2.249,0,0,0,"y"
89,0,1.244,0.68,0,0.68,"y"
5,0,0,0,0,0,"n"
114,0,1.473,0,0,0,"y"
349,0,0.19,0.28,0,0,"y"
1,0,0,0,0,0,"n"
1514,0.254,0.418,1.07,1.9,0.71,"y"
43,0,0.436,0,0,0,"n"
303,0.015,0.045,1.36,0.09,0.19,"y"
96,0.232,0.232,0.68,0.68,0,"y"
11,0,0.925,0,0,0,"n"
213,0,0.411,0,0,0.35,"y"
122,0.37,0.462,0,0.64,0.64,"y"
7,0,1.438,0,0,0,"n"
5,0,0,0,0,0,"n"
21,0,0,0,0,0,"y"
204,0,0.021,0,0.27,0,"y"
146,0,1.424,0,0,0,"y"
755,1.284,5.803,0.09,0,0.09,"y"
781,0.143,0.458,0.33,0,0.16,"y"
84,0,0,0,0,0,"n"
998,0.197,1.248,0,0.37,0.37,"y"
139,0.159,0,0.32,0,0,"y"
53,0,0,0,0,0,"n"
55,0,0,0,0,0,"n"
423,0.027,0,0,0,0,"n"
226,0.067,0.941,0,0,0.43,"y"
545,0,0.014,0,0,0.2,"n"
69,0,0.229,0,0,0,"n"
9,0,0,0,0,0,"n"
123,0.126,0.063,0.72,0,0.36,"n"
69,0,0,0,0,0,"n"
142,0.37,0.444,0,2.2,0.44,"y"
17,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
29,0,0.675,0,0,0,"y"
59,0,0.924,0,0,1.17,"y"
82,0,0.952,0,0,0,"y"
122,0,0,0,0,0,"n"
23,0,0,0,0,0,"n"
574,0.053,0,0,0,0,"n"
122,0,0,0,0,0,"n"
135,0,0.21,0,0,0,"y"
79,0,0.286,0,0,0,"n"
81,0,2.443,0,0,0.48,"y"
10,0,0,0,0,0,"n"
60,0,0,0,0,0,"n"
14,0,0.289,0,0,0,"n"
446,0.052,0,0,0.13,0,"n"
6,0,0,0,0,0,"n"
16,0,0,0,0,0,"n"
14,0,0.287,0,0,0,"n"
921,0.191,0.438,0.77,1.35,0.77,"y"
24,0,0,0,0,0,"n"
86,0,0,0,0,0,"n"
96,0,0,0,0,0,"n"
640,0.121,0.145,0.74,0.04,0.32,"y"
368,0.128,0.153,0.44,0,0.14,"y"
12,0,0,0,0,0,"y"
95,0,0,0,0,0,"y"
738,0,0,0,0,0,"n"
55,0,0,0,0,0,"n"
37,0,0,0,0,0,"n"
448,0,0.24,0,0,0,"n"
86,0,0,0,0,0,"n"
117,0,0.135,0,0,0,"y"
433,0.071,0,0,0,0,"n"
119,0,0,0,0,0,"n"
1073,0.015,0,0,0,0.05,"n"
9,0,0,0,0,0,"n"
2,0,0,0,0,0,"n"
451,0,0,0,0,0,"n"
12,0,0,0,0,0,"n"
14,0,0.066,0,0,0,"n"
43,0,0.192,0,0,0,"n"
125,0,1.098,0,2.59,0,"y"
22,0,0,0,0,0,"n"
51,0,0.091,0,0,0.49,"n"
17,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
137,0,0.188,0,0,0,"n"
9,0,0,0,0,0,"n"
153,0,0,0,0,0,"n"
20,0,0,0,0,0,"n"
617,0.721,0.25,0.17,0,0.17,"y"
54,0,0.308,0,0,0.28,"n"
175,0,0.478,0,0,0,"y"
485,0,0,0,0,0,"n"
582,0,0.024,0,0,0,"n"
104,0,0.121,0.38,0,0,"y"
15,0,0,0,0,0,"n"
154,0,0,0,0,0,"n"
5,0,0,0,0,0,"n"
77,0,0.217,0,0,0,"y"
740,0.023,0,0,0.24,0.08,"n"
80,0,0,0,0,0,"n"
18,0,0,0,0,0,"n"
250,0,0,0,0,0,"n"
322,0,0,0,0,0.27,"n"
14,0,0,0,0,0,"n"
299,0,0.078,0,0,0,"n"
3003,0.039,0.031,0,0.02,0.04,"n"
200,0.345,1.207,0,0,0,"y"
122,0.932,0.699,0,0,0,"y"
115,0.341,0.682,0,0.78,0.78,"y"
227,0.086,0,0,0,0,"n"
59,0,0,0,0,0,"n"
186,0.025,0.615,0.3,0,0.15,"y"
137,0,0.416,0,0,0,"y"
